eval,best_fitness,best_cov,best_time,best_size,is_feasible,best_selected_tests,best_included_elements
64,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
65,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
66,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
67,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
68,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
69,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
70,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
71,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
72,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
73,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
74,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
75,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
76,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
77,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
78,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
79,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
